"away_team","home_team","simulations","away_expected_runs_input","home_expected_runs_input","away_win_probability","home_win_probability","away_mean_runs","home_mean_runs","away_median_runs","home_median_runs","away_runs_p10","away_runs_p90","home_runs_p10","home_runs_p90","mean_total_runs","median_total_runs","total_runs_p10","total_runs_p90","one_run_probability","extra_innings_probability","home_margin_mean","projected_winner","simulation_method","game_id","game_date","game_time_utc","display_order","winner_probability","feature_game","input_completeness","lineup_status","starter_status","bullpen_status","park_status","weather_status","model_version","publication_status","input_status","home_win_probability_without_bullpen","bullpen_home_win_swing"
"Baltimore Orioles","Tampa Bay Rays",20000,4.66427560547503,4.37539406644918,0.5317,0.4683,4.7882,4.52715,5,4,2,8,2,7,9.31535,9,5,13,0.35545,0.13495,-0.26105,"Baltimore Orioles","independent_poisson_score_layer_v1","822940","2026-08-16","2026-08-16T16:15:00Z",1,0.5317,FALSE,1,"confirmed","matched","quality_and_current_usage","neutral_placeholder","indoors","scheduled_game_simulator_development_v3","development_uncalibrated","confirmed; matched; quality_and_current_usage; neutral_placeholder",0.445,0.0233
"Boston Red Sox","Pittsburgh Pirates",20000,4.20353315927157,3.94508834517234,0.541,0.459,4.33375,4.06855,4,4,2,7,2,7,8.4023,8,5,12,0.3694,0.13615,-0.2652,"Boston Red Sox","independent_poisson_score_layer_v1","823344","2026-08-16","2026-08-16T17:35:00Z",2,0.541,FALSE,1,"confirmed","matched","quality_and_current_usage","neutral_placeholder","available","scheduled_game_simulator_development_v3","development_uncalibrated","confirmed; matched; quality_and_current_usage; neutral_placeholder",0.4932,-0.0342
"Arizona Diamondbacks","Atlanta Braves",20000,4.11440646340019,3.84959212992831,0.54205,0.45795,4.2927,3.98615,4,4,2,7,1,7,8.27885,8,5,12,0.373,0.14505,-0.30655,"Arizona Diamondbacks","independent_poisson_score_layer_v1","824880","2026-08-16","2026-08-16T17:35:00Z",3,0.54205,FALSE,1,"confirmed","matched","quality_and_current_usage","neutral_placeholder","available","scheduled_game_simulator_development_v3","development_uncalibrated","confirmed; matched; quality_and_current_usage; neutral_placeholder",0.4458,0.01215
"New York Yankees","Toronto Blue Jays",20000,2.80281138612011,3.28817543034929,0.42395,0.57605,2.96025,3.4431,3,3,1,5,1,6,6.40335,6,3,10,0.4184,0.1602,0.48285,"Toronto Blue Jays","independent_poisson_score_layer_v1","822774","2026-08-16","2026-08-16T17:37:00Z",4,0.57605,FALSE,1,"confirmed","matched","quality_and_current_usage","neutral_placeholder","available","scheduled_game_simulator_development_v3","development_uncalibrated","confirmed; matched; quality_and_current_usage; neutral_placeholder",0.5434,0.03265
"Washington Nationals","New York Mets",20000,3.85213880895425,4.15046958959474,0.4583,0.5417,3.9936,4.291,4,4,1,7,2,7,8.2846,8,5,12,0.37335,0.14265,0.2974,"New York Mets","independent_poisson_score_layer_v1","823590","2026-08-16","2026-08-16T17:40:00Z",5,0.5417,FALSE,1,"confirmed","matched","quality_and_current_usage","neutral_placeholder","available","scheduled_game_simulator_development_v3","development_uncalibrated","confirmed; matched; quality_and_current_usage; neutral_placeholder",0.5126,0.0291
"San Diego Padres","Cleveland Guardians",20000,4.07926411298213,3.38998185302973,0.59365,0.40635,4.2131,3.5342,4,3,2,7,1,6,7.7473,7,4,11,0.3712,0.1432,-0.6789,"San Diego Padres","independent_poisson_score_layer_v1","824397","2026-08-16","2026-08-16T17:40:00Z",6,0.59365,FALSE,1,"confirmed","matched","quality_and_current_usage","neutral_placeholder","available","scheduled_game_simulator_development_v3","development_uncalibrated","confirmed; matched; quality_and_current_usage; neutral_placeholder",0.4204,-0.01405
"Chicago White Sox","Detroit Tigers",20000,4.39873194514011,3.91601847254214,0.5686,0.4314,4.54695,4.0596,4,4,2,7,2,7,8.60655,9,5,13,0.3638,0.1386,-0.48735,"Chicago White Sox","independent_poisson_score_layer_v1","824236","2026-08-16","2026-08-16T17:40:00Z",7,0.5686,FALSE,1,"confirmed","matched","quality_and_current_usage","neutral_placeholder","available","scheduled_game_simulator_development_v3","development_uncalibrated","confirmed; matched; quality_and_current_usage; neutral_placeholder",0.444,-0.0126
"Miami Marlins","Cincinnati Reds",20000,4.9777561287841,3.57470582212261,0.6817,0.3183,5.10825,3.7209,5,4,2,8,1,6,8.82915,9,5,13,0.33285,0.12995,-1.38735,"Miami Marlins","independent_poisson_score_layer_v1","824477","2026-08-16","2026-08-16T17:40:00Z",8,0.6817,FALSE,1,"confirmed","matched","quality_and_current_usage","neutral_placeholder","available","scheduled_game_simulator_development_v3","development_uncalibrated","confirmed; matched; quality_and_current_usage; neutral_placeholder",0.3304,-0.0121
"Philadelphia Phillies","Minnesota Twins",20000,4.91289502940424,5.23318742471382,0.4611,0.5389,5.07715,5.38035,5,5,2,8,2,8,10.4575,10,7,15,0.3311,0.12065,0.3032,"Minnesota Twins","independent_poisson_score_layer_v1","823670","2026-08-16","2026-08-16T18:10:00Z",9,0.5389,FALSE,1,"confirmed","matched","quality_and_current_usage","neutral_placeholder","available","scheduled_game_simulator_development_v3","development_uncalibrated","confirmed; matched; quality_and_current_usage; neutral_placeholder",0.57,-0.0310999999999999
"St. Louis Cardinals","Chicago Cubs",20000,4.44793721343792,4.75967375456107,0.4583,0.5417,4.56825,4.8882,4,5,2,7,2,8,9.45645,9,6,13,0.3476,0.12845,0.31995,"Chicago Cubs","independent_poisson_score_layer_v1","824642","2026-08-16","2026-08-16T19:15:00Z",10,0.5417,FALSE,1,"confirmed","matched","quality_and_current_usage","neutral_placeholder","available","scheduled_game_simulator_development_v3","development_uncalibrated","confirmed; matched; quality_and_current_usage; neutral_placeholder",0.513,0.0286999999999999
"Colorado Rockies","San Francisco Giants",20000,3.46873621392994,3.60565486969365,0.47585,0.52415,3.6388,3.78655,3,4,1,6,1,6,7.42535,7,4,11,0.39585,0.1558,0.14775,"San Francisco Giants","independent_poisson_score_layer_v1","823182","2026-08-16","2026-08-16T20:05:00Z",11,0.52415,TRUE,1,"confirmed","matched","quality_and_current_usage","neutral_placeholder","available","scheduled_game_simulator_development_v3","development_uncalibrated","confirmed; matched; quality_and_current_usage; neutral_placeholder",0.4852,0.03895
"Texas Rangers","Athletics",20000,5.59559331921173,3.92526433665455,0.70345,0.29655,5.70585,4.03645,6,4,3,9,2,7,9.7423,9,6,14,0.30665,0.1146,-1.6694,"Texas Rangers","independent_poisson_score_layer_v1","824965","2026-08-16","2026-08-16T20:05:00Z",12,0.70345,FALSE,1,"confirmed","fallback","quality_and_current_usage","neutral_placeholder","available","scheduled_game_simulator_development_v3","development_uncalibrated","confirmed; fallback; quality_and_current_usage; neutral_placeholder",0.348,-0.05145
"Kansas City Royals","Los Angeles Angels",20000,5.60088207333306,4.30961663475671,0.65485,0.34515,5.7194,4.41835,6,4,3,9,2,7,10.13775,10,6,14,0.3166,0.1192,-1.30105,"Kansas City Royals","independent_poisson_score_layer_v1","823991","2026-08-16","2026-08-16T20:07:00Z",13,0.65485,FALSE,1,"confirmed","matched","quality_and_current_usage","neutral_placeholder","available","scheduled_game_simulator_development_v3","development_uncalibrated","confirmed; matched; quality_and_current_usage; neutral_placeholder",0.289,0.05615
"Milwaukee Brewers","Los Angeles Dodgers",20000,3.37850919708899,3.8803460457462,0.4244,0.5756,3.51745,4.0688,3,4,1,6,2,7,7.58625,7,4,11,0.38395,0.14875,0.55135,"Los Angeles Dodgers","independent_poisson_score_layer_v1","823912","2026-08-16","2026-08-16T20:10:00Z",14,0.5756,FALSE,1,"confirmed","matched","quality_and_current_usage","neutral_placeholder","available","scheduled_game_simulator_development_v3","development_uncalibrated","confirmed; matched; quality_and_current_usage; neutral_placeholder",0.5944,-0.0188
"Seattle Mariners","Houston Astros",20000,4.76105917473649,4.3807390231503,0.54925,0.45075,4.89965,4.525,5,4,2,8,2,7,9.42465,9,5,13,0.3485,0.1305,-0.37465,"Seattle Mariners","independent_poisson_score_layer_v1","824156","2026-08-16","2026-08-16T23:20:00Z",15,0.54925,FALSE,1,"confirmed","matched","quality_and_current_usage","neutral_placeholder","available","scheduled_game_simulator_development_v3","development_uncalibrated","confirmed; matched; quality_and_current_usage; neutral_placeholder",0.4678,-0.01705
