"game_id","team_side","batting_order","batter_id","batter_name","batter_team","pitcher_team","p_BB","p_HBP","p_K","p_1B","p_2B","p_3B","p_HR","p_OUT","bullpen_pitcher_count","bullpen_mean_availability","selected_relief_pitchers","bullpen_input_status"
"823543","away",1,"650490","Yandy Díaz","Tampa Bay Rays","New York Yankees",0.0635076329002115,0.0143499117749753,0.146694908509888,0.179864098865402,0.0295115142133818,0.00215934297839323,0.0280465625058374,0.53586602825191,6,0.832284551589141,"David Bednar | Michael Fulmer | Paul Blackburn | Ryan Yarbrough | Tim Hill | John Schreiber","availability_weighted_active_relievers"
"823543","away",2,"666018","Jonathan Aranda","Tampa Bay Rays","New York Yankees",0.100223687770841,0.0155136696250001,0.221136270374439,0.154807052171363,0.033341084307444,0.000468548536593491,0.0286986304914267,0.445811056722893,6,0.832284551589141,"David Bednar | Michael Fulmer | Paul Blackburn | Ryan Yarbrough | Tim Hill | John Schreiber","availability_weighted_active_relievers"
"823543","away",3,"691406","Junior Caminero","Tampa Bay Rays","New York Yankees",0.0888067971819917,0.0069667765956556,0.178576736789216,0.147942492945146,0.0290715530522478,0.0021506261539588,0.0476782867860939,0.498806730495691,6,0.832284551589141,"David Bednar | Michael Fulmer | Paul Blackburn | Ryan Yarbrough | Tim Hill | John Schreiber","availability_weighted_active_relievers"
"823543","away",4,"689414","Liam Hicks","Tampa Bay Rays","New York Yankees",0.0962409084363773,0.0175068911841899,0.105826311696696,0.165700652972575,0.0224954081208912,0.00209917574384673,0.0274176845365274,0.562712967308897,6,0.832284551589141,"David Bednar | Michael Fulmer | Paul Blackburn | Ryan Yarbrough | Tim Hill | John Schreiber","availability_weighted_active_relievers"
"823543","away",5,"802415","Chandler Simpson","Tampa Bay Rays","New York Yankees",0.0479767868640446,0.00121966884583403,0.0792481999906053,0.220406923800191,0.0229958716155632,0.0124213879588498,0.00293716517669362,0.612793995748219,6,0.832284551589141,"David Bednar | Michael Fulmer | Paul Blackburn | Ryan Yarbrough | Tim Hill | John Schreiber","availability_weighted_active_relievers"
"823543","away",6,"676356","Jonny DeLuca","Tampa Bay Rays","New York Yankees",0.0419516939801424,0.00247735851258535,0.19594384187035,0.151944103941555,0.0465355243190418,0.000853155558593661,0.0224572372279748,0.537837084589757,6,0.832284551589141,"David Bednar | Michael Fulmer | Paul Blackburn | Ryan Yarbrough | Tim Hill | John Schreiber","availability_weighted_active_relievers"
"823543","away",7,"683748","Victor Mesa Jr.","Tampa Bay Rays","New York Yankees",0.093338982749613,0.00556461926888883,0.18783315504187,0.124890749679668,0.0221939147519121,0.010203768759538,0.044140376518437,0.511834433230074,6,0.832284551589141,"David Bednar | Michael Fulmer | Paul Blackburn | Ryan Yarbrough | Tim Hill | John Schreiber","availability_weighted_active_relievers"
"823543","away",8,"622761","Jorge Mateo","Tampa Bay Rays","New York Yankees",0.0534243160780197,0.00675397442546607,0.270101400973548,0.136671706827791,0.0283198256140174,0.00136549188911268,0.0222251860063128,0.481138098185732,6,0.832284551589141,"David Bednar | Michael Fulmer | Paul Blackburn | Ryan Yarbrough | Tim Hill | John Schreiber","availability_weighted_active_relievers"
"823543","away",9,"680700","Richie Palacios","Tampa Bay Rays","New York Yankees",0.111450373660771,0.0107236762862957,0.160912064089397,0.127410474679124,0.0292269017131829,0.00791624406632663,0.0226328033852816,0.529727462119622,6,0.832284551589141,"David Bednar | Michael Fulmer | Paul Blackburn | Ryan Yarbrough | Tim Hill | John Schreiber","availability_weighted_active_relievers"
"823543","home",1,"700250","Ben Rice","New York Yankees","Tampa Bay Rays",0.102018134773125,0.00731835636014081,0.239500370662103,0.108910417650041,0.0367415597545968,0.00640922501402416,0.0533706212496712,0.445731314536298,6,0.831325254408452,"Cam Booser | Alex Cook | Bryan Baker | Casey Legumina | Brody Hopkins | Kevin Kelly","availability_weighted_active_relievers"
