"game_id","starter_id","starter_name","team_id","team_name"
"824911","683627","Anthony Molina","137","San Francisco Giants"
"824911","693821","Bryce Elder","144","Atlanta Braves"
"824473","650633","Michael King","135","San Diego Padres"
"824473","663903","Brady Singer","113","Cincinnati Reds"
"822932","476594","Robert Stock","121","New York Mets"
"822932","693855","Ian Seymour","139","Tampa Bay Rays"
"824719","669923","George Kirby","136","Seattle Mariners"
"824719","801139","Payton Tolle","111","Boston Red Sox"
"822689","687473","Ryan Gusto","146","Miami Marlins"
"822689","702021","Will Dion","120","Washington Nationals"
"823663","695549","Jackson Jobe","116","Detroit Tigers"
"823663","671737","Taj Bradley","142","Minnesota Twins"
"824635","690986","Kyle Harrison","158","Milwaukee Brewers"
"824635","605280","Clay Holmes","112","Chicago Cubs"
"822855","695611","Gage Jump","133","Athletics"
"822855","594798","Jacob deGrom","140","Texas Rangers"
"824149","641743","Anthony Kay","145","Chicago White Sox"
"824149","663567","Peter Lambert","117","Houston Astros"
"824314",,,"110","Baltimore Orioles"
"824314","685299","Tanner Gordon","115","Colorado Rockies"
"823982","695684","Elmer Rodríguez","147","New York Yankees"
"823982","700712","Walbert Ureña","108","Los Angeles Angels"
"825040","605400","Aaron Nola","143","Philadelphia Phillies"
"825040",,,"109","Arizona Diamondbacks"
