"lineup_spot","player","team","sims","avg_PA","avg_starter_PA","avg_bullpen_PA","avg_H","avg_BB","avg_K","avg_HR","avg_XBH","avg_TB","p_1_plus_H","p_2_plus_H","p_1_plus_BB","p_2_plus_K","p_1_plus_HR","p_2_plus_HR","p_1_plus_XBH","p_2_plus_TB","p_3_plus_TB","H_p10","H_p90","TB_p10","TB_p90","player_id","game_id","game_date","opponent","opposing_starter_id","opposing_starter","opposing_starter_hand","expected_team_runs","model_version","publication_status"
1,"Elly De La Cruz","Cincinnati Reds",2000,4.471,3.5885,0.8825,1.079,0.4425,1.139,0.188,0.4455,1.925,0.713,0.292,0.373,0.3145,0.173,0.0145,0.368,0.462,0.297,0,2,0,5,"682829","822700","2026-08-09","Washington Nationals",695418,"Brad Lord","R",4.05304196823408,"starter_bullpen_player_sim_v1","development_uncalibrated"
2,"Sal Stewart","Cincinnati Reds",2000,4.3355,3.428,0.9075,0.964,0.4365,0.9545,0.218,0.388,1.801,0.666,0.25,0.3655,0.25,0.206,0.012,0.33,0.4155,0.2755,0,2,0,5,"701398","822700","2026-08-09","Washington Nationals",695418,"Brad Lord","R",4.05304196823408,"starter_bullpen_player_sim_v1","development_uncalibrated"
3,"JJ Bleday","Cincinnati Reds",2000,4.207,3.2765,0.9305,0.8265,0.529,0.85,0.215,0.3255,1.589,0.5985,0.1955,0.429,0.204,0.1985,0.016,0.2875,0.3595,0.2395,0,2,0,4,"668709","822700","2026-08-09","Washington Nationals",695418,"Brad Lord","R",4.05304196823408,"starter_bullpen_player_sim_v1","development_uncalibrated"
4,"Tyler Stephenson","Cincinnati Reds",2000,4.113,3.152,0.961,0.8885,0.453,0.9895,0.1145,0.3265,1.4595,0.6355,0.218,0.3795,0.2565,0.108,0.0065,0.2865,0.372,0.195,0,2,0,4,"663886","822700","2026-08-09","Washington Nationals",695418,"Brad Lord","R",4.05304196823408,"starter_bullpen_player_sim_v1","development_uncalibrated"
5,"Eugenio Suárez","Cincinnati Reds",2000,4.0295,3.059,0.9705,0.7795,0.375,1.2895,0.1785,0.3165,1.466,0.579,0.176,0.3135,0.3875,0.166,0.0125,0.2795,0.339,0.2235,0,2,0,4,"553993","822700","2026-08-09","Washington Nationals",695418,"Brad Lord","R",4.05304196823408,"starter_bullpen_player_sim_v1","development_uncalibrated"
6,"Héctor Rodríguez","Cincinnati Reds",2000,3.942,2.989,0.953,0.872,0.3485,0.8665,0.124,0.3275,1.4655,0.625,0.2095,0.303,0.2075,0.1165,0.0075,0.2875,0.3605,0.2065,0,2,0,4,"699302","822700","2026-08-09","Washington Nationals",695418,"Brad Lord","R",4.05304196823408,"starter_bullpen_player_sim_v1","development_uncalibrated"
7,"Dane Myers","Cincinnati Reds",2000,3.849,2.933,0.916,0.8865,0.419,0.9395,0.0585,0.2805,1.301,0.6295,0.218,0.3505,0.237,0.0565,0.002,0.2515,0.3495,0.1685,0,2,0,3,"667472","822700","2026-08-09","Washington Nationals",695418,"Brad Lord","R",4.05304196823408,"starter_bullpen_player_sim_v1","development_uncalibrated"
8,"Matt McLain","Cincinnati Reds",2000,3.739,2.847,0.892,0.6645,0.405,0.9555,0.093,0.275,1.1405,0.52,0.128,0.3475,0.231,0.0905,0.0025,0.2495,0.29,0.1575,0,2,0,4,"680574","822700","2026-08-09","Washington Nationals",695418,"Brad Lord","R",4.05304196823408,"starter_bullpen_player_sim_v1","development_uncalibrated"
9,"Ke'Bryan Hayes","Cincinnati Reds",2000,3.6095,2.7245,0.885,0.6065,0.2635,0.725,0.063,0.2295,0.9725,0.4855,0.11,0.232,0.152,0.0615,0.0015,0.2025,0.244,0.1155,0,2,0,3,"663647","822700","2026-08-09","Washington Nationals",695418,"Brad Lord","R",4.05304196823408,"starter_bullpen_player_sim_v1","development_uncalibrated"
1,"CJ Abrams","Washington Nationals",2000,4.553,2.986,1.567,1.249,0.3945,0.9645,0.315,0.531,2.4255,0.774,0.368,0.3385,0.2485,0.285,0.0285,0.442,0.5585,0.381,0,2,0,5,"682928","822700","2026-08-09","Cincinnati Reds",663903,"Brady Singer","R",5.08117341846579,"starter_bullpen_player_sim_v1","development_uncalibrated"
