"lineup_spot","player","team","sims","avg_PA","avg_starter_PA","avg_bullpen_PA","avg_H","avg_BB","avg_K","avg_HR","avg_XBH","avg_TB","p_1_plus_H","p_2_plus_H","p_1_plus_BB","p_2_plus_K","p_1_plus_HR","p_1_plus_XBH","p_2_plus_TB","p_3_plus_TB","H_p10","H_p90","TB_p10","TB_p90","player_id","game_id","game_date","opponent","opposing_starter_id","opposing_starter","opposing_starter_hand","expected_team_runs","model_version","publication_status"
1,"Cole Young","Seattle Mariners",2000,4.518,3.0815,1.4365,1.053,0.285,0.82,0.1365,0.3635,1.709,0.6945,0.2825,0.2535,0.197,0.1265,0.304,0.408,0.254,0,2,0,4,"702284","822868","2026-07-27","Texas Rangers",677958,"Kumar Rocker","R",4.44145089915699,"starter_bullpen_player_sim_v1","development_uncalibrated"
2,"Julio Rodríguez","Seattle Mariners",2000,4.376,3.0135,1.3625,0.987,0.3355,0.8645,0.1655,0.339,1.673,0.676,0.2505,0.299,0.2085,0.1545,0.299,0.4045,0.24,0,2,0,4,"677594","822868","2026-07-27","Texas Rangers",677958,"Kumar Rocker","R",4.44145089915699,"starter_bullpen_player_sim_v1","development_uncalibrated"
3,"Dominic Canzone","Seattle Mariners",2000,4.2465,2.9525,1.294,0.948,0.371,0.8795,0.2205,0.393,1.794,0.666,0.235,0.3245,0.211,0.1985,0.3345,0.4125,0.2675,0,2,0,5,"686527","822868","2026-07-27","Texas Rangers",677958,"Kumar Rocker","R",4.44145089915699,"starter_bullpen_player_sim_v1","development_uncalibrated"
4,"Randy Arozarena","Seattle Mariners",2000,4.136,2.8655,1.2705,1.0395,0.3815,0.8645,0.133,0.3895,1.7195,0.706,0.269,0.326,0.213,0.125,0.3295,0.43,0.242,0,2,0,4,"668227","822868","2026-07-27","Texas Rangers",677958,"Kumar Rocker","R",4.44145089915699,"starter_bullpen_player_sim_v1","development_uncalibrated"
5,"Josh Naylor","Seattle Mariners",2000,4.0545,2.7515,1.303,0.901,0.3205,0.544,0.077,0.267,1.34,0.633,0.221,0.284,0.09,0.073,0.241,0.34,0.1715,0,2,0,4,"647304","822868","2026-07-27","Texas Rangers",677958,"Kumar Rocker","R",4.44145089915699,"starter_bullpen_player_sim_v1","development_uncalibrated"
6,"Luke Raley","Seattle Mariners",2000,3.974,2.6155,1.3585,0.872,0.21,1.1975,0.216,0.3375,1.6515,0.623,0.2055,0.1895,0.344,0.197,0.2975,0.375,0.2475,0,2,0,4,"670042","822868","2026-07-27","Texas Rangers",677958,"Kumar Rocker","R",4.44145089915699,"starter_bullpen_player_sim_v1","development_uncalibrated"
7,"Mitch Garver","Seattle Mariners",2000,3.88,2.466,1.414,0.6815,0.488,1.0915,0.113,0.2675,1.1855,0.5305,0.132,0.403,0.3025,0.1115,0.2405,0.291,0.1625,0,2,0,4,"641598","822868","2026-07-27","Texas Rangers",677958,"Kumar Rocker","R",4.44145089915699,"starter_bullpen_player_sim_v1","development_uncalibrated"
8,"J.P. Crawford","Seattle Mariners",2000,3.774,2.312,1.462,0.729,0.4845,0.7895,0.091,0.251,1.173,0.556,0.1535,0.408,0.1755,0.0865,0.227,0.293,0.1485,0,2,0,3,"641487","822868","2026-07-27","Texas Rangers",677958,"Kumar Rocker","R",4.44145089915699,"starter_bullpen_player_sim_v1","development_uncalibrated"
9,"Colt Emerson","Seattle Mariners",2000,3.6545,2.177,1.4775,0.7205,0.264,1.0585,0.131,0.2885,1.288,0.546,0.1545,0.239,0.2735,0.125,0.259,0.3115,0.1875,0,2,0,4,"806068","822868","2026-07-27","Texas Rangers",677958,"Kumar Rocker","R",4.44145089915699,"starter_bullpen_player_sim_v1","development_uncalibrated"
1,"Joc Pederson","Texas Rangers",2000,4.4465,3.15,1.2965,0.9275,0.402,1.001,0.2215,0.387,1.7685,0.646,0.2285,0.3375,0.261,0.201,0.3285,0.401,0.2715,0,2,0,5,"592626","822868","2026-07-27","Seattle Mariners",669923,"George Kirby","R",4.00284269650798,"starter_bullpen_player_sim_v1","development_uncalibrated"
2,"Wyatt Langford","Texas Rangers",2000,4.315,3.0675,1.2475,0.9975,0.2515,0.9245,0.195,0.3835,1.784,0.6925,0.2505,0.2325,0.2305,0.1775,0.3275,0.416,0.2615,0,2,0,5,"694671","822868","2026-07-27","Seattle Mariners",669923,"George Kirby","R",4.00284269650798,"starter_bullpen_player_sim_v1","development_uncalibrated"
