"sims","avg_H","median_H","H_p10","H_p90","avg_BB","median_BB","BB_p10","BB_p90","avg_K","median_K","K_p10","K_p90","avg_HR","median_HR","HR_p10","HR_p90","p_k_5plus","p_k_7plus","p_k_10plus","game_id","game_date","player_id","player_name","team","opponent","expected_batters_faced","model_version","publication_status"
2000,6.1215,6,3,9,2.542,2,1,5,5.9645,6,3,9,0.758,1,0,2,0.7295,0.3935,0.061,"824240","2026-08-11",623454,"Drew Anderson","Detroit Tigers","Cleveland Guardians",28,"starter_bullpen_player_sim_v1","development_uncalibrated"
2000,5.608,5,3,8,1.9965,2,0,4,4.5135,4,2,7,0.866,1,0,2,0.4795,0.1555,0.0075,"824240","2026-08-11",676440,"Tanner Bibee","Cleveland Guardians","Detroit Tigers",23.3478260869565,"starter_bullpen_player_sim_v1","development_uncalibrated"
2000,5.045,5,3,8,2.1695,2,0,4,5.345,5,3,8,0.78,1,0,2,0.6495,0.2755,0.0295,"823832","2026-08-11",691587,"Eury Pérez","Miami Marlins","Pittsburgh Pirates",22.2631578947368,"starter_bullpen_player_sim_v1","development_uncalibrated"
2000,4.6825,5,2,7,1.68,2,0,3,5.76,6,3,9,0.6805,0,0,2,0.7125,0.354,0.044,"823832","2026-08-11",694973,"Paul Skenes","Pittsburgh Pirates","Miami Marlins",22.2608695652174,"starter_bullpen_player_sim_v1","development_uncalibrated"
2000,4.817,5,2,7,2.348,2,1,4,4.7475,5,2,7,0.765,1,0,2,0.52,0.196,0.015,"822697","2026-08-11",663623,"Jake Irvin","Washington Nationals","Chicago Cubs",20.6666666666667,"starter_bullpen_player_sim_v1","development_uncalibrated"
2000,5.192,5,3,8,1.599,1,0,3,5.194,5,3,8,0.852,1,0,2,0.6155,0.2465,0.0285,"822697","2026-08-11",684007,"Shota Imanaga","Chicago Cubs","Washington Nationals",23.1818181818182,"starter_bullpen_player_sim_v1","development_uncalibrated"
2000,4.722,5,2,7,1.9615,2,0,4,5.5545,5,3,8,0.715,1,0,2,0.67,0.322,0.0405,"823512","2026-08-11",677960,"Ryan Weathers","New York Yankees","Seattle Mariners",22.952380952381,"starter_bullpen_player_sim_v1","development_uncalibrated"
2000,4.765,5,2,7,1.6835,2,0,3,6.1185,6,3,9,0.9045,1,0,2,0.778,0.423,0.0585,"823512","2026-08-11",693433,"Bryan Woo","Seattle Mariners","New York Yankees",23.6666666666667,"starter_bullpen_player_sim_v1","development_uncalibrated"
2000,4.7505,5,2,7,1.5115,1,0,3,4.1055,4,2,6,0.5735,0,0,2,0.396,0.0945,0.007,"822778","2026-08-11",663776,"Patrick Sandoval","Boston Red Sox","Toronto Blue Jays",21.5,"starter_bullpen_player_sim_v1","development_uncalibrated"
2000,4.968,5,2,8,2.102,2,0,4,5.0645,5,3,8,0.695,1,0,2,0.592,0.2305,0.0195,"824886","2026-08-11",527048,"Martín Pérez","Atlanta Braves","New York Mets",23.4117647058824,"starter_bullpen_player_sim_v1","development_uncalibrated"
2000,4.93,5,2,8,2.0365,2,0,4,5.6215,5,3,9,0.7555,1,0,2,0.687,0.333,0.048,"824886","2026-08-11",690997,"Nolan McLean","New York Mets","Atlanta Braves",23.7272727272727,"starter_bullpen_player_sim_v1","development_uncalibrated"
2000,5.3045,5,3,8,1.7605,2,0,3,4.7015,5,2,7,0.958,1,0,2,0.529,0.167,0.008,"823673","2026-08-11",641927,"Bailey Ober","Minnesota Twins","Baltimore Orioles",22.875,"starter_bullpen_player_sim_v1","development_uncalibrated"
2000,5.384,5,3,8,2.1935,2,1,4,4.5455,4,2,7,0.6945,1,0,2,0.485,0.1615,0.013,"823673","2026-08-11",687064,"Brandon Young","Baltimore Orioles","Minnesota Twins",24.3888888888889,"starter_bullpen_player_sim_v1","development_uncalibrated"
2000,5.4175,5,3,8,2.6075,2,1,5,7.6885,8,4,11,0.8595,1,0,2,0.8995,0.672,0.2325,"824563","2026-08-11",680732,"Sean Burke","Chicago White Sox","Cincinnati Reds",28,"starter_bullpen_player_sim_v1","development_uncalibrated"
2000,5.3685,5,3,8,2.2595,2,1,4,4.9165,5,2,8,0.8035,1,0,2,0.5595,0.217,0.0195,"824563","2026-08-11",666157,"Nick Lodolo","Cincinnati Reds","Chicago White Sox",23.25,"starter_bullpen_player_sim_v1","development_uncalibrated"
2000,5.324,5,3,8,1.701,2,0,3,4.394,4,2,7,0.694,1,0,2,0.4465,0.143,0.0075,"823019","2026-08-11",669467,"Andre Pallante","St. Louis Cardinals","Philadelphia Phillies",23.6190476190476,"starter_bullpen_player_sim_v1","development_uncalibrated"
2000,4.942,5,2,8,1.6555,2,0,3,5.816,6,3,9,0.5715,0,0,2,0.7075,0.3645,0.0545,"823019","2026-08-11",650911,"Cristopher Sánchez","Philadelphia Phillies","St. Louis Cardinals",26.2173913043478,"starter_bullpen_player_sim_v1","development_uncalibrated"
2000,5.958,6,3,9,1.544,1,0,3,3.526,3,1,6,0.7055,1,0,2,0.277,0.0515,0,"825046","2026-08-11",608372,"Tomoyuki Sugano","Colorado Rockies","Arizona Diamondbacks",22.5789473684211,"starter_bullpen_player_sim_v1","development_uncalibrated"
