"defense_side","pitcher_id","pitcher_name","throws","pitcher_role","availability_score","decision_opportunities","selection_probability_sum","selection_count","bf_total","entry_inning_sum","high_leverage_entries","appearance_probability","mean_selection_likelihood","mean_bf_per_appearance","mean_entry_inning","high_leverage_entry_share","game_id","game_date","team","opponent","model_version","generated_at_utc"
"away","677865","Justin Bruihl","L","reliever",0.966666666666667,620,187.36595515011,205,742,1390,92,0.82,0.302203153467919,3.61951219512195,6.78048780487805,0.448780487804878,"824474","2026-08-20","St. Louis Cardinals","Cincinnati Reds","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 19:30:55 UTC"
"away","676617","Riley O'Brien","R","reliever",0.393333333333333,610,190.775283891819,201,731,1355,86,0.804,0.312746367035768,3.63681592039801,6.74129353233831,0.427860696517413,"824474","2026-08-20","St. Louis Cardinals","Cincinnati Reds","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 19:30:55 UTC"
"away","703725","Luis Gastelum","R","reliever",0.777777777777778,704,203.92174188615,184,646,1296,86,0.736,0.28966156517919,3.51086956521739,7.04347826086957,0.467391304347826,"824474","2026-08-20","St. Louis Cardinals","Cincinnati Reds","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 19:30:55 UTC"
"away","657265","Peter Strzelecki","R","reliever",0.744444444444444,714,171.224272443651,176,626,1231,88,0.704,0.239809905383265,3.55681818181818,6.99431818181818,0.5,"824474","2026-08-20","St. Louis Cardinals","Cincinnati Reds","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 19:30:55 UTC"
"away","657571","Caleb Ferguson","L","reliever",0.894444444444444,817,140.032527477647,127,438,894,67,0.508,0.1713984424451,3.4488188976378,7.03937007874016,0.52755905511811,"824474","2026-08-20","St. Louis Cardinals","Cincinnati Reds","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 19:30:55 UTC"
"away","592773","Ryne Stanek","R","reliever",0.51,834,118.680219150624,119,401,852,59,0.476,0.142302421043913,3.36974789915966,7.15966386554622,0.495798319327731,"824474","2026-08-20","St. Louis Cardinals","Cincinnati Reds","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 19:30:55 UTC"
"home","670062","Julian Garcia","R","reliever",0.805555555555556,606,224.913989331663,235,825,1532,93,0.94,0.371145196916936,3.51063829787234,6.51914893617021,0.395744680851064,"824474","2026-08-20","Cincinnati Reds","St. Louis Cardinals","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 19:30:55 UTC"
"home","656271","Brock Burke","L","reliever",0.833333333333333,626,217.416039128714,231,841,1516,108,0.924,0.347309966659288,3.64069264069264,6.56277056277056,0.467532467532468,"824474","2026-08-20","Cincinnati Reds","St. Louis Cardinals","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 19:30:55 UTC"
"home","641941","Emilio Pagán","R","reliever",0.905555555555556,876,192.316243238123,195,667,1404,105,0.78,0.219539090454478,3.42051282051282,7.2,0.538461538461538,"824474","2026-08-20","Cincinnati Reds","St. Louis Cardinals","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 19:30:55 UTC"
"home","594580","Sam Moll","L","reliever",0.911111111111111,866,187.173410539213,185,624,1303,91,0.74,0.216135577989853,3.37297297297297,7.04324324324324,0.491891891891892,"824474","2026-08-20","Cincinnati Reds","St. Louis Cardinals","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 19:30:55 UTC"
"home","622088","Tejay Antone","R","reliever",0.833333333333333,885,186.251215152948,179,628,1261,82,0.716,0.210453350455308,3.50837988826816,7.04469273743017,0.458100558659218,"824474","2026-08-20","Cincinnati Reds","St. Louis Cardinals","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 19:30:55 UTC"
"home","572955","Pierce Johnson","R","reliever",0.927777777777778,884,194.92910260934,178,623,1258,86,0.712,0.22050803462595,3.5,7.06741573033708,0.48314606741573,"824474","2026-08-20","Cincinnati Reds","St. Louis Cardinals","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 19:30:55 UTC"
"away","681916","Dylan Smith","R","reliever",1,557,234.078254061818,236,821,1530,95,0.944,0.420248211960175,3.47881355932203,6.48305084745763,0.402542372881356,"824395","2026-08-20","San Francisco Giants","Cleveland Guardians","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 19:30:58 UTC"
"away","664141","JT Brubaker","R","reliever",0.927777777777778,507,230.108706830879,233,801,1448,86,0.932,0.453863327082602,3.43776824034335,6.21459227467811,0.369098712446352,"824395","2026-08-20","San Francisco Giants","Cleveland Guardians","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 19:30:58 UTC"
"away","693313","Carson Seymour","R","reliever",1,824,208.804073788624,190,686,1363,101,0.76,0.25340300217066,3.61052631578947,7.17368421052632,0.531578947368421,"824395","2026-08-20","San Francisco Giants","Cleveland Guardians","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 19:30:58 UTC"
"away","671345","Jason Foley","R","reliever",0.938888888888889,789,171.803217830693,179,640,1239,83,0.716,0.217748058087063,3.57541899441341,6.92178770949721,0.463687150837989,"824395","2026-08-20","San Francisco Giants","Cleveland Guardians","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 19:30:58 UTC"
"away","676775","Keaton Winn","R","reliever",0.9,904,148.862341795858,152,529,1107,82,0.608,0.164670732075064,3.48026315789474,7.28289473684211,0.539473684210526,"824395","2026-08-20","San Francisco Giants","Cleveland Guardians","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 19:30:58 UTC"
"away","656529","Sam Hentges","L","reliever",0.833333333333333,961,123.343405692128,127,442,939,65,0.508,0.12834901736954,3.48031496062992,7.39370078740157,0.511811023622047,"824395","2026-08-20","San Francisco Giants","Cleveland Guardians","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 19:30:58 UTC"
"home","671922","Cade Smith","R","reliever",0.988888888888889,605,242.085445115446,234,822,1554,101,0.936,0.400141231595779,3.51282051282051,6.64102564102564,0.431623931623932,"824395","2026-08-20","Cleveland Guardians","San Francisco Giants","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 19:30:58 UTC"
"home","670059","Colin Holderman","R","reliever",1,518,239.992834520508,232,794,1452,91,0.928,0.463306630348472,3.42241379310345,6.25862068965517,0.392241379310345,"824395","2026-08-20","Cleveland Guardians","San Francisco Giants","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 19:30:58 UTC"
"home","681870","Erik Sabrowski","L","reliever",1,641,220.416019825934,227,843,1507,104,0.908,0.343862745438275,3.7136563876652,6.63876651982379,0.458149779735683,"824395","2026-08-20","Cleveland Guardians","San Francisco Giants","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 19:30:58 UTC"
"home","683769","Hunter Gaddis","R","reliever",1,935,170.102110845635,172,593,1273,96,0.688,0.181927391278754,3.44767441860465,7.40116279069767,0.558139534883721,"824395","2026-08-20","Cleveland Guardians","San Francisco Giants","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 19:30:58 UTC"
"home","682120","Tim Herrin","L","reliever",0.496666666666667,959,162.116086058437,168,588,1253,96,0.672,0.169047013616723,3.5,7.45833333333333,0.571428571428571,"824395","2026-08-20","Cleveland Guardians","San Francisco Giants","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 19:30:58 UTC"
"home","684974","Craig Yoho","R","reliever",0.635555555555556,1033,153.28750363404,155,532,1202,85,0.62,0.148390613392101,3.43225806451613,7.75483870967742,0.548387096774194,"824395","2026-08-20","Cleveland Guardians","San Francisco Giants","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 19:30:58 UTC"
"away","686973","Louis Varland","R","reliever",1,562,227.319132004536,235,829,1426,82,0.94,0.404482441289209,3.52765957446808,6.06808510638298,0.348936170212766,"822934","2026-08-20","Toronto Blue Jays","Tampa Bay Rays","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 19:31:02 UTC"
"away","643511","Tyler Rogers","R","reliever",1,567,236.732383529783,230,823,1393,71,0.92,0.417517431269459,3.57826086956522,6.05652173913044,0.308695652173913,"822934","2026-08-20","Toronto Blue Jays","Tampa Bay Rays","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 19:31:02 UTC"
"away","680755","Braydon Fisher","R","reliever",0.933333333333333,791,204.148159938181,205,741,1382,94,0.82,0.258088697772668,3.61463414634146,6.74146341463415,0.458536585365854,"822934","2026-08-20","Toronto Blue Jays","Tampa Bay Rays","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 19:31:02 UTC"
