"defense_side","pitcher_id","pitcher_name","throws","pitcher_role","availability_score","decision_opportunities","selection_probability_sum","selection_count","bf_total","entry_inning_sum","high_leverage_entries","appearance_probability","mean_selection_likelihood","mean_bf_per_appearance","mean_entry_inning","high_leverage_entry_share","game_id","game_date","team","opponent","model_version","generated_at_utc"
"away","677865","Justin Bruihl","L","reliever",0.966666666666667,620,187.36595515011,205,742,1390,92,0.82,0.302203153467919,3.61951219512195,6.78048780487805,0.448780487804878,"824474","2026-08-20","St. Louis Cardinals","Cincinnati Reds","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:31 UTC"
"away","676617","Riley O'Brien","R","reliever",0.393333333333333,610,190.775283891819,201,731,1355,86,0.804,0.312746367035768,3.63681592039801,6.74129353233831,0.427860696517413,"824474","2026-08-20","St. Louis Cardinals","Cincinnati Reds","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:31 UTC"
"away","703725","Luis Gastelum","R","reliever",0.777777777777778,704,203.92174188615,184,646,1296,86,0.736,0.28966156517919,3.51086956521739,7.04347826086957,0.467391304347826,"824474","2026-08-20","St. Louis Cardinals","Cincinnati Reds","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:31 UTC"
"away","657265","Peter Strzelecki","R","reliever",0.744444444444444,714,171.224272443651,176,626,1231,88,0.704,0.239809905383265,3.55681818181818,6.99431818181818,0.5,"824474","2026-08-20","St. Louis Cardinals","Cincinnati Reds","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:31 UTC"
"away","657571","Caleb Ferguson","L","reliever",0.894444444444444,817,140.032527477647,127,438,894,67,0.508,0.1713984424451,3.4488188976378,7.03937007874016,0.52755905511811,"824474","2026-08-20","St. Louis Cardinals","Cincinnati Reds","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:31 UTC"
"away","592773","Ryne Stanek","R","reliever",0.51,834,118.680219150624,119,401,852,59,0.476,0.142302421043913,3.36974789915966,7.15966386554622,0.495798319327731,"824474","2026-08-20","St. Louis Cardinals","Cincinnati Reds","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:31 UTC"
"home","670062","Julian Garcia","R","reliever",0.805555555555556,606,224.913989331663,235,825,1532,93,0.94,0.371145196916936,3.51063829787234,6.51914893617021,0.395744680851064,"824474","2026-08-20","Cincinnati Reds","St. Louis Cardinals","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:31 UTC"
"home","656271","Brock Burke","L","reliever",0.833333333333333,626,217.416039128714,231,841,1516,108,0.924,0.347309966659288,3.64069264069264,6.56277056277056,0.467532467532468,"824474","2026-08-20","Cincinnati Reds","St. Louis Cardinals","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:31 UTC"
"home","641941","Emilio Pagán","R","reliever",0.905555555555556,876,192.316243238123,195,667,1404,105,0.78,0.219539090454478,3.42051282051282,7.2,0.538461538461538,"824474","2026-08-20","Cincinnati Reds","St. Louis Cardinals","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:31 UTC"
"home","594580","Sam Moll","L","reliever",0.911111111111111,866,187.173410539213,185,624,1303,91,0.74,0.216135577989853,3.37297297297297,7.04324324324324,0.491891891891892,"824474","2026-08-20","Cincinnati Reds","St. Louis Cardinals","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:31 UTC"
"home","622088","Tejay Antone","R","reliever",0.833333333333333,885,186.251215152948,179,628,1261,82,0.716,0.210453350455308,3.50837988826816,7.04469273743017,0.458100558659218,"824474","2026-08-20","Cincinnati Reds","St. Louis Cardinals","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:31 UTC"
"home","572955","Pierce Johnson","R","reliever",0.927777777777778,884,194.92910260934,178,623,1258,86,0.712,0.22050803462595,3.5,7.06741573033708,0.48314606741573,"824474","2026-08-20","Cincinnati Reds","St. Louis Cardinals","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:31 UTC"
"away","681916","Dylan Smith","R","reliever",1,557,234.078254061818,236,821,1530,95,0.944,0.420248211960175,3.47881355932203,6.48305084745763,0.402542372881356,"824395","2026-08-20","San Francisco Giants","Cleveland Guardians","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:35 UTC"
"away","664141","JT Brubaker","R","reliever",0.927777777777778,507,230.108706830879,233,801,1448,86,0.932,0.453863327082602,3.43776824034335,6.21459227467811,0.369098712446352,"824395","2026-08-20","San Francisco Giants","Cleveland Guardians","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:35 UTC"
"away","693313","Carson Seymour","R","reliever",1,824,208.804073788624,190,686,1363,101,0.76,0.25340300217066,3.61052631578947,7.17368421052632,0.531578947368421,"824395","2026-08-20","San Francisco Giants","Cleveland Guardians","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:35 UTC"
"away","671345","Jason Foley","R","reliever",0.938888888888889,789,171.803217830693,179,640,1239,83,0.716,0.217748058087063,3.57541899441341,6.92178770949721,0.463687150837989,"824395","2026-08-20","San Francisco Giants","Cleveland Guardians","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:35 UTC"
"away","676775","Keaton Winn","R","reliever",0.9,904,148.862341795858,152,529,1107,82,0.608,0.164670732075064,3.48026315789474,7.28289473684211,0.539473684210526,"824395","2026-08-20","San Francisco Giants","Cleveland Guardians","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:35 UTC"
"away","656529","Sam Hentges","L","reliever",0.833333333333333,961,123.343405692128,127,442,939,65,0.508,0.12834901736954,3.48031496062992,7.39370078740157,0.511811023622047,"824395","2026-08-20","San Francisco Giants","Cleveland Guardians","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:35 UTC"
"home","671922","Cade Smith","R","reliever",0.988888888888889,605,242.085445115446,234,822,1554,101,0.936,0.400141231595779,3.51282051282051,6.64102564102564,0.431623931623932,"824395","2026-08-20","Cleveland Guardians","San Francisco Giants","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:35 UTC"
"home","670059","Colin Holderman","R","reliever",1,518,239.992834520508,232,794,1452,91,0.928,0.463306630348472,3.42241379310345,6.25862068965517,0.392241379310345,"824395","2026-08-20","Cleveland Guardians","San Francisco Giants","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:35 UTC"
"home","681870","Erik Sabrowski","L","reliever",1,641,220.416019825934,227,843,1507,104,0.908,0.343862745438275,3.7136563876652,6.63876651982379,0.458149779735683,"824395","2026-08-20","Cleveland Guardians","San Francisco Giants","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:35 UTC"
"home","683769","Hunter Gaddis","R","reliever",1,935,170.102110845635,172,593,1273,96,0.688,0.181927391278754,3.44767441860465,7.40116279069767,0.558139534883721,"824395","2026-08-20","Cleveland Guardians","San Francisco Giants","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:35 UTC"
"home","682120","Tim Herrin","L","reliever",0.496666666666667,959,162.116086058437,168,588,1253,96,0.672,0.169047013616723,3.5,7.45833333333333,0.571428571428571,"824395","2026-08-20","Cleveland Guardians","San Francisco Giants","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:35 UTC"
"home","684974","Craig Yoho","R","reliever",0.635555555555556,1033,153.28750363404,155,532,1202,85,0.62,0.148390613392101,3.43225806451613,7.75483870967742,0.548387096774194,"824395","2026-08-20","Cleveland Guardians","San Francisco Giants","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:35 UTC"
"away","686973","Louis Varland","R","reliever",1,562,227.319132004536,235,829,1426,82,0.94,0.404482441289209,3.52765957446808,6.06808510638298,0.348936170212766,"822934","2026-08-20","Toronto Blue Jays","Tampa Bay Rays","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:39 UTC"
"away","643511","Tyler Rogers","R","reliever",1,567,236.732383529783,230,823,1393,71,0.92,0.417517431269459,3.57826086956522,6.05652173913044,0.308695652173913,"822934","2026-08-20","Toronto Blue Jays","Tampa Bay Rays","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:39 UTC"
"away","680755","Braydon Fisher","R","reliever",0.933333333333333,791,204.148159938181,205,741,1382,94,0.82,0.258088697772668,3.61463414634146,6.74146341463415,0.458536585365854,"822934","2026-08-20","Toronto Blue Jays","Tampa Bay Rays","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:39 UTC"
"away","689254","Mason Fluharty","L","reliever",0.835555555555556,812,207.258490079539,198,699,1347,89,0.792,0.255244445910762,3.53030303030303,6.8030303030303,0.44949494949495,"822934","2026-08-20","Toronto Blue Jays","Tampa Bay Rays","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:39 UTC"
"away","623149","Paul Sewald","R","reliever",0.9,903,169.44531645363,178,592,1249,87,0.712,0.187647083558837,3.32584269662921,7.01685393258427,0.48876404494382,"822934","2026-08-20","Toronto Blue Jays","Tampa Bay Rays","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:39 UTC"
"away","663893","Brendon Little","L","reliever",0.883333333333333,1035,113.096517994333,112,379,803,59,0.448,0.109271998062157,3.38392857142857,7.16964285714286,0.526785714285714,"822934","2026-08-20","Toronto Blue Jays","Tampa Bay Rays","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:39 UTC"
"home","641329","Bryan Baker","R","reliever",0.883333333333333,591,203.652816177246,211,739,1453,108,0.844,0.344590213497879,3.50236966824645,6.88625592417062,0.511848341232227,"822934","2026-08-20","Tampa Bay Rays","Toronto Blue Jays","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:39 UTC"
"home","687330","Kevin Kelly","R","reliever",0.9,604,209.110886086358,207,675,1433,95,0.828,0.346210076301918,3.26086956521739,6.92270531400966,0.458937198067633,"822934","2026-08-20","Tampa Bay Rays","Toronto Blue Jays","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:39 UTC"
"home","664076","Garrett Cleavinger","L","reliever",0.95,774,193.51271739605,194,711,1466,108,0.776,0.250016430744251,3.66494845360825,7.55670103092783,0.556701030927835,"822934","2026-08-20","Tampa Bay Rays","Toronto Blue Jays","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:39 UTC"
"home","669330","Tyler Wells","R","reliever",0.9,728,182.682015945533,192,643,1404,97,0.768,0.250936835090018,3.34895833333333,7.3125,0.505208333333333,"822934","2026-08-20","Tampa Bay Rays","Toronto Blue Jays","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:39 UTC"
"home","668984","Casey Legumina","R","reliever",0.911111111111111,797,172.288379248317,165,569,1228,93,0.66,0.216171115744438,3.44848484848485,7.44242424242424,0.563636363636364,"822934","2026-08-20","Tampa Bay Rays","Toronto Blue Jays","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:39 UTC"
"home","688297","Chris Roycroft","R","reliever",1,951,112.753185146496,105,370,808,63,0.42,0.11856276040641,3.52380952380952,7.6952380952381,0.6,"822934","2026-08-20","Tampa Bay Rays","Toronto Blue Jays","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:39 UTC"
"away","656240","Scott Blewett","R","reliever",0.844444444444444,431,242.131320330686,243,862,1430,60,0.972,0.561789606335699,3.54732510288066,5.88477366255144,0.246913580246914,"824074","2026-08-20","Athletics","Kansas City Royals","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:43 UTC"
"away","680723","Drew Rom","L","reliever",0.68,635,236.568444131658,225,851,1463,82,0.9,0.372548730915997,3.78222222222222,6.50222222222222,0.364444444444444,"824074","2026-08-20","Athletics","Kansas City Royals","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:43 UTC"
"away","665660","Elvis Alvarado","R","reliever",0.752222222222222,749,206.868676086099,212,767,1447,94,0.848,0.276193158993457,3.61792452830189,6.82547169811321,0.443396226415094,"824074","2026-08-20","Athletics","Kansas City Royals","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:43 UTC"
"away","696522","Hayden Juenger","R","reliever",0.883333333333333,773,201.318743139154,201,683,1382,83,0.804,0.260438218808737,3.39800995024876,6.87562189054726,0.412935323383085,"824074","2026-08-20","Athletics","Kansas City Royals","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:43 UTC"
"away","665622","Luis Medina","R","reliever",0.246666666666667,888,174.112816312403,180,635,1304,94,0.72,0.196072991342796,3.52777777777778,7.24444444444444,0.522222222222222,"824074","2026-08-20","Athletics","Kansas City Royals","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:43 UTC"
"home","518886","Craig Kimbrel","R","reliever",1,573,222.750217953852,235,866,1608,98,0.94,0.388743835870597,3.68510638297872,6.84255319148936,0.417021276595745,"824074","2026-08-20","Kansas City Royals","Athletics","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:43 UTC"
"home","663878","Nate Pearson","R","reliever",0.9,500,223.392728740756,231,873,1504,81,0.924,0.446785457481512,3.77922077922078,6.51082251082251,0.350649350649351,"824074","2026-08-20","Kansas City Royals","Athletics","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:43 UTC"
"home","674444","Steven Cruz","R","reliever",0.955555555555556,685,221.386835177472,212,773,1500,105,0.848,0.323192460113097,3.64622641509434,7.07547169811321,0.495283018867925,"824074","2026-08-20","Kansas City Royals","Athletics","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:43 UTC"
"home","670167","John Schreiber","R","reliever",0.95,682,209.203788536837,208,752,1463,93,0.832,0.306750423074541,3.61538461538462,7.03365384615385,0.447115384615385,"824074","2026-08-20","Kansas City Royals","Athletics","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:43 UTC"
"home","656638","Alex Lange","R","reliever",0.635555555555556,964,155.266429591083,146,476,1152,85,0.584,0.161064760986601,3.26027397260274,7.89041095890411,0.582191780821918,"824074","2026-08-20","Kansas City Royals","Athletics","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:43 UTC"
"away","669276","Dylan Lee","L","reliever",0.916666666666667,413,219.51691670963,240,865,1346,54,0.96,0.531517958134697,3.60416666666667,5.60833333333333,0.225,"824589","2026-08-20","Atlanta Braves","Chicago White Sox","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:48 UTC"
"away","689266","Dylan Dodd","L","reliever",0.68,707,204.489257508759,205,712,1321,92,0.82,0.289235159135444,3.47317073170732,6.44390243902439,0.448780487804878,"824589","2026-08-20","Atlanta Braves","Chicago White Sox","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:48 UTC"
"away","682989","Victor Mederos","R","reliever",0.944444444444444,776,205.231695712018,188,700,1244,74,0.752,0.264473834680436,3.72340425531915,6.61702127659574,0.393617021276596,"824589","2026-08-20","Atlanta Braves","Chicago White Sox","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:48 UTC"
"away","628452","Raisel Iglesias","R","reliever",0.883333333333333,841,191.653125463395,184,661,1266,83,0.736,0.227887188422587,3.59239130434783,6.8804347826087,0.451086956521739,"824589","2026-08-20","Atlanta Braves","Chicago White Sox","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:48 UTC"
"away","678061","Ray Kerr","L","reliever",0.883333333333333,913,143.166861327786,157,546,1099,75,0.628,0.156809267609843,3.47770700636943,7,0.477707006369427,"824589","2026-08-20","Atlanta Braves","Chicago White Sox","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:48 UTC"
"away","608718","Brent Suter","L","reliever",1,909,164.942143278412,155,540,1071,66,0.62,0.181454503056558,3.48387096774194,6.90967741935484,0.425806451612903,"824589","2026-08-20","Atlanta Braves","Chicago White Sox","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:48 UTC"
"home","656794","Sean Newcomb","L","reliever",0.816666666666667,459,223.057229444781,241,829,1485,81,0.964,0.485963462842659,3.43983402489627,6.16182572614108,0.336099585062241,"824589","2026-08-20","Chicago White Sox","Atlanta Braves","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:48 UTC"
"home","623211","Huascar Brazobán","R","reliever",0.518888888888889,752,232.909964980285,218,759,1541,116,0.872,0.309720698112081,3.48165137614679,7.06880733944954,0.532110091743119,"824589","2026-08-20","Chicago White Sox","Atlanta Braves","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:48 UTC"
"home","663855","Jordan Hicks","R","reliever",0.833333333333333,795,209.663784836781,210,759,1510,107,0.84,0.263728031241234,3.61428571428571,7.19047619047619,0.509523809523809,"824589","2026-08-20","Chicago White Sox","Atlanta Braves","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:48 UTC"
"home","805326","Tyler Schweitzer","L","reliever",0.844444444444444,845,206.03487623912,199,723,1462,112,0.796,0.243828255904284,3.63316582914573,7.34673366834171,0.562814070351759,"824589","2026-08-20","Chicago White Sox","Atlanta Braves","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:48 UTC"
"home","664353","José Urquidy","R","reliever",1,896,173.168921579797,169,636,1225,87,0.676,0.193268885691738,3.76331360946746,7.24852071005917,0.514792899408284,"824589","2026-08-20","Chicago White Sox","Atlanta Braves","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:48 UTC"
"home","696146","Hagen Smith","L","reliever",0.833333333333333,974,139.165222919236,147,520,1086,75,0.588,0.142880105666567,3.53741496598639,7.38775510204082,0.510204081632653,"824589","2026-08-20","Chicago White Sox","Atlanta Braves","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:48 UTC"
"away","678606","José A. Ferrer","L","reliever",1,623,209.974899606267,223,821,1481,92,0.892,0.337038362128839,3.68161434977578,6.64125560538117,0.412556053811659,"823747","2026-08-20","Seattle Mariners","Milwaukee Brewers","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:52 UTC"
"away","642100","Gabe Speier","L","reliever",0.927777777777778,632,218.128547266048,218,791,1448,91,0.872,0.345140106433621,3.62844036697248,6.64220183486239,0.41743119266055,"823747","2026-08-20","Seattle Mariners","Milwaukee Brewers","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:52 UTC"
"away","662253","Andrés Muñoz","R","reliever",0.9,657,203.68636824727,196,704,1291,80,0.784,0.310024913618372,3.59183673469388,6.58673469387755,0.408163265306122,"823747","2026-08-20","Seattle Mariners","Milwaukee Brewers","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:52 UTC"
"away","621074","Michael Rucker","R","reliever",1,784,167.030605743998,172,585,1193,69,0.688,0.213049242020406,3.40116279069767,6.93604651162791,0.401162790697674,"823747","2026-08-20","Seattle Mariners","Milwaukee Brewers","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:52 UTC"
"away","660825","Eduard Bazardo","R","reliever",0.911111111111111,845,173.503910684087,169,589,1226,92,0.676,0.205330071815488,3.48520710059172,7.25443786982249,0.544378698224852,"823747","2026-08-20","Seattle Mariners","Milwaukee Brewers","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:52 UTC"
"away","622554","Seranthony Domínguez","R","reliever",0.966666666666667,970,119.675668452328,114,419,843,62,0.456,0.123376977785906,3.67543859649123,7.39473684210526,0.543859649122807,"823747","2026-08-20","Seattle Mariners","Milwaukee Brewers","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:52 UTC"
"home","656730","Trevor Megill","R","reliever",1,487,247.9474533724,242,870,1518,82,0.968,0.509132347787268,3.59504132231405,6.27272727272727,0.338842975206612,"823747","2026-08-20","Milwaukee Brewers","Seattle Mariners","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:52 UTC"
"home","669084","DL Hall","L","reliever",0.922222222222222,706,215.124067530052,219,805,1511,104,0.876,0.304708310949082,3.67579908675799,6.89954337899543,0.474885844748858,"823747","2026-08-20","Milwaukee Brewers","Seattle Mariners","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:52 UTC"
"home","676879","Aaron Ashby","L","reliever",0.983333333333333,802,207.670561279073,201,738,1433,100,0.804,0.258940849475154,3.67164179104478,7.12935323383085,0.497512437810945,"823747","2026-08-20","Milwaukee Brewers","Seattle Mariners","plate_appearance_state_machine_phase5_manager_hook_v1","2026-08-20 22:58:52 UTC"
